Drug Name,PT Name,A,AB,AC,ABCD
NEXLETOL,ARTHRALGIA,50,527,352719,29153222
NEXLETOL,PAIN IN EXTREMITY,47,527,263771,29153222
NEXLETOL,MYALGIA,45,527,149065,29153222
NEXLETOL,MUSCLE SPASMS,34,527,161490,29153222
NEXLETOL,BACK PAIN,31,527,205074,29153222
NEXLETOL,HEADACHE,30,527,548975,29153222
NEXLETOL,NAUSEA,30,527,684000,29153222
NEXLETOL,DRUG INEFFECTIVE,27,527,1147842,29153222
NEXLETOL,DIARRHOEA,23,527,546775,29153222
NEXLETOL,FATIGUE,22,527,669881,29153222
NEXLETOL,DIZZINESS,21,527,435269,29153222
NEXLETOL,OFF LABEL USE,20,527,673517,29153222
NEXLETOL,GOUT,17,527,15679,29153222
NEXLETOL,HEPATIC ENZYME INCREASED,16,527,57297,29153222
NEXLETOL,RASH,16,527,365884,29153222
NEXLETOL,BLOOD URIC ACID INCREASED,14,527,4955,29153222
NEXLETOL,PAIN,14,527,548029,29153222
NEXLETOL,ABDOMINAL DISCOMFORT,13,527,143638,29153222
NEXLETOL,PRODUCT DOSE OMISSION ISSUE,13,527,183837,29153222
NEXLETOL,PRURITUS,13,527,302472,29153222
NEXLETOL,TENDON RUPTURE,13,527,11144,29153222
NEXLETOL,ABDOMINAL PAIN UPPER,12,527,176579,29153222
NEXLETOL,PERIPHERAL SWELLING,12,527,129714,29153222
NEXLETOL,BLOOD CHOLESTEROL INCREASED,11,527,40220,29153222
NEXLETOL,FEELING ABNORMAL,11,527,217960,29153222
NEXLETOL,ASTHENIA,10,527,327899,29153222
NEXLETOL,BLOOD CREATININE INCREASED,10,527,58417,29153222
NEXLETOL,BLOOD CREATINE PHOSPHOKINASE INCREASED,9,527,26853,29153222
NEXLETOL,BLOOD TRIGLYCERIDES INCREASED,9,527,15823,29153222
NEXLETOL,GAIT DISTURBANCE,9,527,170868,29153222
NEXLETOL,INSOMNIA,9,527,236601,29153222
NEXLETOL,LOW DENSITY LIPOPROTEIN INCREASED,9,527,6438,29153222
NEXLETOL,NECK PAIN,9,527,48928,29153222
NEXLETOL,RHINORRHOEA,9,527,54670,29153222
NEXLETOL,ARTHRITIS,8,527,68754,29153222
NEXLETOL,DYSPNOEA,8,527,493555,29153222
